PUB_ID,RADEG,DECDEG,Total PAH,halpha,OIII_cont,SII_cont,irac3,pacs100,spire250,spire350,spire500,dust.lum,dust.Mass,SFR,Stellar.Mass,TIR,total.gas,RHI,X12plogOH
Region 1,10.3767083333333,40.7188333333333,5.68495880526794E-18,5.3670675542498E-19,1.08748735583745E-17,5.56051038002367E-18,6.48351242818937E-18,1.67037696072584E-17,1.54932549618128E-16,5.64995826983281E-17,3.95497078888297E-17,8935.87196683866,82.2306936392807,2.72918636713097E-8,1540.35821018987,1.16434532633665E36,1898.27166504543,9.06525466904444E-4,0.00611763588748843
Region 2,11.3452083333333,41.6480833333333,5.473796917313975E-18,3.75790383498206E-19,2.84872018267386E-17,5.20897267266185E-17,8.51646636673421E-18,1.36609519605133E-17,1.19021819517287E-16,4.07061030397973E-17,2.84942721278581E-17,6815.47916165085,48.4501420685268,2.75479577166088E-8,1933.19953886325,1.03404936807677E36,262.762687841191,5.34122094014666E-4,0.00603119103255653
Region 3,10.1557083333333,41.0248333333333,4.890544848216726E-18,8.64408073760404E-19,9.41576051946713E-17,1.7841898786364E-16,7.81727822598576E-18,8.26494127112079E-18,7.51099207681662E-17,2.36450328901925E-17,1.65515230231347E-17,4834.78714137306,25.1720879990523,2.20623283709714E-8,1927.37283877451,8.19278278066852E35,1351.33344878516,-2.46173035989898E-4,0.00570099719137314
Region 4,10.3244166666667,41.1193888888889,3.1386045311895504E-18,6.3945094704185E-19,8.54800770359912E-18,4.88335218983163E-17,1.01324439823951E-17,1.20837301700696E-17,8.3491640756021E-17,2.62773587177322E-17,1.83941511024125E-17,4819.26264330042,25.9087202230358,1.77704121921834E-8,4161.51633641681,8.18888384319201E35,380.372826105433,2.05217410909841E-4,0.00572676441031719
Region 5,10.914875,41.3175277777778,1.5210369736307108E-18,1.21871741003536E-18,1.4992491379704E-16,2.7209347836623E-16,8.74266449574854E-18,8.63788778309762E-18,5.29663611814429E-17,1.52774321869401E-17,1.06942025308581E-17,3513.55943234343,13.8820757420056,1.52859123701761E-8,4246.51095966568,6.37311807791552E35,606.1411561895,3.37407070076976E-4,0.00557821684459075
Region 6,10.8988333333333,41.3875,1.3737576206539795E-18,1.67713595042464E-18,1.8434301446462E-16,3.43803177899155E-16,1.28342756073986E-17,1.73754476084067E-17,7.917792389298E-17,2.25322340109867E-17,1.57725638076907E-17,5082.31384499832,21.5255344568493,2.79505480260592E-8,7017.24321650112,1.11592702154663E36,1073.04811539146,2.15977365885534E-4,0.0055371617764585
Region 7,10.2249166666667,40.9830277777778,3.3264016373598045E-18,7.70883389639954E-19,1.07147002333309E-17,4.23154546376037E-17,8.35506439238197E-18,1.6673981630429E-17,7.41053031471555E-17,2.57498219034558E-17,1.80248753324191E-17,5580.37981390857,23.2992500604237,1.750800609071E-8,3003.30239119792,8.53502923183491E35,164.640340945714,-7.72165640562381E-5,0.00541111597825247
Region 8,10.59,41.1215,9.939293630056676E-19,1.57786217915081E-18,2.34865285847087E-16,4.05257756131918E-16,1.40185289607345E-17,1.13103860570811E-17,5.07531867719131E-17,1.67508256807106E-17,1.17255779764974E-17,5679.04893924272,12.2211661991881,1.56344873495789E-8,13331.9706769048,6.79776887278187E35,1023.9426339136,3.73778470268897E-4,0.00575897343399727
Region 9,10.25,40.6056388888889,6.594258875630435E-18,3.05593446723703E-18,3.09193882185168E-17,2.35536707412464E-17,7.53619085186989E-18,2.23581992136982E-17,1.49738689720558E-16,5.06951091475772E-17,3.5486576403304E-17,9670.46112510378,55.2887956162248,4.95276647682164E-8,1710.23613806751,1.86594164971861E36,766.581564849765,1.94422521772773E-4,0.00561961664827289
Region 10,10.6458333333333,41.3502777777778,1.1291620416902948E-17,1.34523807570608E-18,2.04263108306982E-16,4.48922410680231E-16,2.86525386989694E-17,4.32359083564772E-17,2.05292306423194E-16,5.7908725574638E-17,4.05361079022466E-17,11630.6981478953,34.1788266919713,4.89257379389345E-8,19772.6293490814,3.19323628912467E36,1932.29762295985,-4.08504180471002E-4,0.00643728382208592
