Pub_ID_1,RADEG_1,DECDEG_1,PAH6.2flx_1,PAH7.4flx_1,PAH7.6flx_1,PAH7.9flx_1,PAH8.3flx_1,PAH8.6flx_1,PAH10.7flx_1,PAH11.23flx_1,PAH11.33flx_1,PAH12.0flx_1,PAH12.62flx_1,PAH16.45flx_1,PAH17.04flx_1,PAH17.39flx_1,ArII_1,ArIII_1,SIV_1,NeII_1,NeIII_1,SIII_1,IRAC1_flx_PER_PC_SQ,IRAC2_flx_PER_PC_SQ,IRAC3_flx_PER_PC_SQ,IRAC4_flx_PER_PC_SQ,MIPS24_flx_PER_PC_SQ,12plogOH
Region 1,10.37670833,40.71883333,5.0877013E-20,5.9780485E-20,5.426881E-20,4.578931E-20,1.9333263E-20,2.1071563E-20,3.3239647E-21,2.0817178E-20,2.9127088E-20,1.3651997E-20,2.2894655E-20,3.9726468E-21,1.9163675E-20,1.6323041E-21,2.2767462E-21,2.450576E-21,8.606694E-22,8.352309E-22,6.3172284E-22,7.82E-18,6.6283947E-18,3.212222E-18,5.3876953E-18,1.0401481E-17,1.5891152E-18,3.9E-4
Region 2,11.34520833,41.64808333,5.285539E-20,7.063402E-20,6.198496E-20,4.6416642E-20,1.5712467E-20,3.3635248E-20,2.561084E-21,2.2631716E-20,3.1617134E-20,1.1147682E-20,2.2920018E-20,5.1894383E-21,1.7057876E-20,2.1478508E-21,2.2968071E-21,2.9406818E-21,8.697114E-22,1.0426927E-21,4.901136E-22,3.05E-18,1.0095554E-17,4.4189295E-18,8.039053E-18,1.1557201E-17,1.5177325E-18,4.36E-4
Region 3,10.15570833,41.02483333,3.7564194E-20,9.412247E-20,7.122781E-20,,3.1586144E-20,1.09385564E-20,,1.683181E-20,1.1956098E-20,8.945874E-21,1.9884433E-20,2.7092009E-21,1.4923923E-20,1.276165E-21,6.4020237E-21,3.9599273E-21,4.324546E-21,1.3016035E-21,8.352309E-22,1.52E-17,7.325226E-18,3.3821808E-18,6.8153495E-18,7.1042796E-18,1.3664691E-18,3.75E-4
Region 4,10.32441667,41.11938889,2.3615414E-20,3.0441413E-20,3.3494033E-20,2.4124183E-20,1.1150545E-20,1.7298184E-20,1.225288E-21,1.2973637E-20,1.6747016E-20,5.1724957E-21,1.3143228E-20,2.620166E-21,1.411837E-20,1.7170991E-21,1.6747016E-21,1.4966321E-21,6.6140113E-22,8.818682E-22,4.7061235E-22,4.5E-18,1.3834649E-17,6.4074486E-18,8.6169125E-18,6.5774073E-18,1.1302262E-18,3.77E-4
Region 5,10.914875,41.31752778,1.0721254E-20,,2.6893228E-20,8.694126E-21,5.225485E-21,9.279741E-21,1.4370083E-21,8.063464E-21,1.2072673E-20,3.869562E-21,9.95545E-21,1.342409E-21,1.261324E-20,9.685166E-22,2.0000995E-21,9.77526E-22,8.2887006E-22,6.666998E-22,3.9506467E-22,7.71E-18,2.5323865E-17,1.1353251E-17,8.1920155E-18,6.6113986E-18,9.194773E-19,4.02E-4
Region 6,10.89883333,41.3875,1.23008914E-20,2.5851092E-20,1.19164875E-20,,4.8050356E-21,6.0062945E-21,1.3838502E-21,6.7751E-21,1.14359844E-20,3.1713234E-21,7.6400065E-21,1.4463157E-21,1.1772337E-20,9.081517E-22,1.1820388E-21,6.7751E-22,6.486798E-22,5.8140927E-22,9.177618E-22,1.88E-17,3.416173E-17,1.5330286E-17,1.25769545E-17,6.7133743E-18,9.738641E-19,4.19E-4
Region 7,10.22491667,40.98302778,2.993537E-20,1.8691587E-20,4.7906204E-20,2.9262668E-20,1.4415107E-20,2.167071E-20,2.7821156E-21,1.6817624E-20,2.0085049E-20,8.841265E-21,1.7874732E-20,3.3202796E-21,1.6913725E-20,2.3784926E-21,1.9556494E-21,2.1382409E-21,3.8344183E-22,1.6817624E-21,4.853086E-22,2.68E-17,3.654115E-17,1.7165844E-17,1.3664691E-17,6.1865016E-18,8.684897E-19,4.04E-4
Region 8,10.59,41.1215,4.0065644E-21,,4.218552E-21,5.0453037E-21,3.9556875E-21,4.0277633E-21,2.1580332E-21,3.0611002E-21,3.5825895E-21,,,5.172496E-22,4.7909186E-21,8.649091E-22,1.7679762E-21,7.0803843E-22,7.2923716E-22,3.91329E-22,1.7298182E-21,2.28E-17,7.189258E-18,3.654115E-18,6.458436E-18,1.2661932E-17,2.5493826E-18,3.79E-4
Region 9,10.25,40.60563889,5.723664E-20,7.758744E-20,1.07689675E-19,,3.7013027E-20,2.2937053E-20,3.6292267E-21,2.2852257E-20,3.2942865E-20,2.1537935E-20,3.5317126E-20,3.6334664E-21,2.2131498E-20,,3.637706E-21,5.2148935E-21,4.0065644E-21,5.6812663E-21,1.8654904E-21,5.38E-17,1.126827E-17,5.115761E-18,7.206255E-18,6.3224686E-18,1.1302262E-18,3.76E-4
Region10,10.64583333,41.35027778,6.342647E-20,2.277587E-19,7.303654E-20,7.063402E-20,5.42969E-20,3.3443045E-20,3.3394996E-21,3.8920787E-20,4.997237E-20,2.3304423E-20,4.3629725E-20,5.285539E-21,6.054345E-20,9.658121E-22,5.862143E-21,8.216611E-21,5.141388E-21,3.132883E-21,1.2012589E-21,6.99E-18,5.132757E-17,2.4304113E-17,2.481399E-17,1.9715225E-17,3.059259E-18,4.28E-4
