PUB_ID,RADEG,DECDEG,PAH5.7flx,PAH6.2flx,PAH7.4flx,PAH7.6flx,PAH7.7flx,PAH7.9flx,PAH8.3flx,PAH8.6flx,PAH10.7flx,PAH11.23flx,PAH11.3flx,PAH12.0flx,PAH12.62flx,PAH12.7flx,PAH16.45flx,PAH17.39flx,PAH17.0flx,FUV,NUV,halpha,OIII_cont,SII_cont,irac1,irac2,irac3,irac4,mips24,mips70,pacs100,pacs160,spire250,spire350,spire500,co,hi,dust.lum,dust.Mass,SFR,Stellar.Mass,TIR,total.gas,RHI,X12plogOH
Region 1,10.3767083333333,40.7188333333333,1.66337902478642e-20,5.58272352741475e-20,6.56022230953662e-20,5.94909288460135e-20,1.75347525029463e-19,5.02543693704477e-20,2.12056648930187e-20,2.31171143503459e-20,3.64434963027777e-21,2.28526446152176e-20,5.47752591784003e-20,1.49924310312478e-20,2.51123487267058e-20,2.51123500573418e-20,4.3579550499585e-21,1.79033363033018e-21,2.71693335908375e-20,3.71361164715314e-20,1.65680695323589e-19,3.75316904363479e-20,7.60475592680311e-19,3.8884428440983e-19,5.63977192522385e-19,2.7467684873447e-19,4.53389451381763e-19,8.59071648695982e-19,9.73414510801682e-19,3.33742117989148e-19,1.16808798041546e-18,1.47548099170262e-18,1.08343717160357e-17,3.9509933985038e-18,2.76569537895266e-18,0.00342679613168509,113000686454560432,624.881980799116,5.75035977624665,1.90850919685467e-09,107.716638409285,8.14222066470412e+34,132.745384283755,6.33929661824037e-05,0.000427803850073958
Region 2,11.3452083333333,41.6480833333333,1.25843106040685e-20,5.12133847012254e-20,6.81726406781589e-20,5.98831180255688e-20,1.72988963923977e-19,4.49332055819723e-20,1.5203709867678e-20,3.25377936279207e-20,2.47701656321865e-21,2.19146288734282e-20,5.25232648948696e-20,1.07788272303963e-20,2.2184508002239e-20,2.38861880644769e-20,5.04504755853299e-21,2.07851058081449e-21,2.36483140607523e-20,9.50787089589237e-20,3.16016553229778e-19,2.62788724007082e-20,1.99209871974188e-18,3.64261392027639e-18,7.5670006990251e-19,3.3286874954564e-19,5.9555311360808e-19,8.39803217043776e-19,8.89269712479564e-19,3.04892472850136e-19,9.55304949798555e-19,1.32408991710616e-18,8.32314860981489e-18,2.84656163299085e-18,1.9925931430936e-18,0.00024277051969701,104083797291912432,476.603753325059,3.38809920935903,1.92641775182181e-09,135.18787664011,7.23106619886461e+34,18.3748904939148,3.73509460895438e-05,0.000421758795670739
Region 3,10.1557083333333,41.0248333333333,1.30675767776215e-20,3.98983563624652e-20,9.9843185158276e-20,7.57273148894213e-20,1.75570500439978e-19,4.50472849018022e-65,3.35604524882671e-20,1.16366020225938e-20,4.50472849018022e-65,1.78921630637741e-20,3.05878081426481e-20,9.52512045819695e-21,2.11124191284114e-20,2.11124188920259e-20,2.87936073614288e-21,1.35635762146527e-21,2.010260181331E-20,7.41359738491281e-20,2.21364934864039e-19,6.0447713592437e-20,-1.99412915725607e-18,-2.08383703116323e-18,6.02737532241144e-19,2.79099495476125e-19,5.46659164370274e-19,5.46538484758412e-19,8.81807607665553e-19,3.02334036913904e-19,5.77964063479467e-19,1.05460023025766e-18,5.25240695496234e-18,1.65348776742948e-18,1.15744143720064e-18,0.00112716054169435,76309853726275856,338.094746305113,1.76027412524156,1.54280986843307e-09,134.780417814997,5.72918048875339e+34,94.4982118511389,-1.72147827228909e-05,0.000398668471380949
Region 4,10.3244166666667,41.1193888888889,6.24781110628585e-21,2.51000137973759e-20,3.23469416992114e-20,3.56038874259827e-20,9.35643636058941e-20,2.56135348263425e-20,1.18482512850307e-20,1.83739153960094e-20,1.30061390381082e-21,1.37751160121873e-20,3.15471979732104e-20,5.49883242386603e-21,1.39460546918399e-20,1.39460552145172e-20,2.78464611679975e-21,1.8258122251115e-21,1.96027397410243e-20,3.53847998795447e-20,1.36461238717154e-19,4.47165509862096e-20,5.97758786779131e-19,3.41490880872732e-18,1.1552409800773e-18,5.36895489644577e-19,7.08557787035429e-19,5.25294446166695e-19,6.98699426004334e-19,2.39554088915772e-19,8.45010455849948e-19,1.06437694668433e-18,5.83853730776407e-18,1.83756526801654e-18,1.28629568761158e-18,0.00146644506139049,38597489025163800,337.009124315167,1.81178652436181,1.24267787312499e-09,291.013186075003,5.72645397724743e+34,26.5993207938733,NA,0.000400470362777021
Region 5,10.914875,41.3175277777778,4.36822497705383e-65,1.04094853621892e-20,4.36822497705383e-65,2.60865153759682e-20,3.45116535218122e-20,8.42513835420047e-21,5.06529714561962e-21,8.99830582129213e-21,1.39290332441561e-21,7.80112649566588e-21,1.95149604710834e-20,3.75347829842458e-21,9.63790394336734e-21,9.63790399218627e-21,1.30361418494965e-21,9.40398899042609e-22,1.44744273909524e-20,3.6424912630329e-20,1.90822322627228e-19,8.52244248847142e-20,1.04841897301462e-17,1.90273889727813e-17,1.90283870286717e-18,8.57619791729865e-19,6.11371059012409e-19,4.84507981264184e-19,5.66963200483859e-19,1.94387383023037e-19,6.04044065073161e-19,7.1960150893573e-19,3.70391661984508e-18,1.06834477059732e-18,7.47841339418126e-19,0,51690366892573712,245.701816888826,0.970768048094221,1.06893778644599e-09,296.956826352093,4.45669618272678e+34,42.3872105295575,2.3594742524038e-05,0.000390082490450907
Region 6,10.8988333333333,41.3875,4.43541266698136e-65,1.13417356268321e-20,2.38677051457674e-20,1.10044127356003e-20,3.48721186187257e-20,4.43541266698136e-65,4.44522646104833e-21,5.55226731817794e-21,1.27813131213846e-21,6.25961628531773e-21,1.68330104347459e-20,2.9291718071267e-21,7.05760956342628e-21,7.05760983912018e-21,1.33673491166698e-21,8.40186649143519e-22,1.30351851860166e-20,7.8935335556336e-20,2.63647760930102e-19,1.1728145150915e-19,1.28910338523891e-17,2.40420198060044e-17,2.45846145315851e-18,1.10833214040727e-18,8.97495800458551e-19,4.73638440899701e-19,1.22540734309216e-18,4.20139660488742e-19,1.21505815650733e-18,1.20889155564171e-18,5.5368807992569e-18,1.57567018337616e-18,1.10296912836332e-18,0.00565965903084963,37649947286193864,355.404190468597,1.50527208302362,1.95457073240988e-09,490.713033618777,7.80363338059349e+34,75.0378289132754,1.51032114944318e-05,0.000387211525827473
Region 7,10.2249166666667,40.9830277777778,9.37462288501421e-21,2.80518375960118e-20,1.75038081682714e-20,4.49310989445834e-20,8.98831655126242e-20,2.74482584855424e-20,1.35236129663249e-20,2.0310611242623e-20,2.60890922559581e-21,1.57838131866237e-20,3.46301088603481e-20,8.2789508380603e-21,1.67515568006035e-20,1.67515571242537e-20,3.11072223997999e-21,2.23168776655661e-21,2.1184102411429e-20,3.36237976337482e-20,1.5359082175117e-19,5.39075695434087e-20,7.49274735618364e-19,2.95910295161891e-18,9.23930773521488e-19,4.18468191631122e-19,5.84266337587519e-19,4.9271739379211e-19,7.49736407954185e-19,2.57052482727149e-19,1.16600491901595e-18,1.04594946928871e-18,5.18215444336722e-18,1.800674827926E-18,1.2604723795482e-18,0.000175064726231176,35680036505474960,390.233746037014,1.62930731135378,1.22432791857428e-09,210.019744476534,5.96851207398645e+34,11.5132337114267,-5.39972368416043e-06,0.000378397193175138
Region 8,10.59,41.1215,4.50472849018022e-65,4.25812703938798e-21,4.50472849018022e-65,4.48432657484819e-21,9.84743269051029e-21,5.3631067563483e-21,4.20480546919541e-21,4.28031598051206e-21,2.29287166461951e-21,3.25191214315631e-21,7.05776740809396e-21,4.50472849018022e-65,4.50472849018022e-65,4.50472849018022e-65,5.4870147191449e-22,9.17383767627705e-22,6.57014444592834e-21,3.64852175410766e-20,1.94391326052067e-19,1.1033927607678e-19,1.64240362424307e-17,2.83395140760403e-17,2.66210948788993e-18,1.25660930278671e-18,9.80310167533949e-19,4.35400951725676e-19,8.33566328368377e-19,2.85794169726301e-19,7.90930808899217e-19,5.85724321142889e-19,3.54915021159604e-18,1.17137859295966e-18,8.19965015071762e-19,0,15243716755941670,397.133638818751,0.854621302830236,1.09331349643766e-09,932.299419178826,4.75365279852068e+34,71.6039020790669,2.61381801069296e-05,0.000402722727022111
Region 9,10.25,40.6056388888889,4.43541266698136e-65,5.97484017149292e-20,8.09801145002336e-20,1.12867635657788e-19,1.93847747580263e-19,4.43541266698136e-65,3.87093676912911e-20,2.40159676849866e-20,3.79815209080522e-21,2.39124389437616e-20,5.83790345036355e-20,2.25429050425048e-20,3.69535519267019e-20,3.69535520431098e-20,3.80067007457626e-21,4.43541266698136e-65,2.69369302453174e-20,1.41085083014932e-19,5.16446331511718e-19,2.13700284669024e-19,2.16218054900344e-18,1.64709884860708e-18,5.7708006401836e-19,2.95677116851667e-19,5.27002835836587e-19,1.01763871079505e-18,1.848872934685E-18,6.33899291892001e-19,1.5634999990605e-18,1.93580434155256e-18,1.04711671543733e-17,3.54508886637201e-18,2.4815622064604e-18,0.00309741797293864,99185773873324048,676.251509144391,3.86632353830455,3.46344994417672e-09,119.596134496535,1.30484559140818e+35,53.6067446428371,1.35958897988006e-05,0.000392977562294549
Region 10,10.6458333333333,41.3502777777778,5.05794048652713e-65,6.69636926420884e-20,2.39687605792933e-19,7.67347434645332e-20,3.90612144554794e-19,7.41897850713917e-20,5.71614191530203e-20,3.52131085384156e-20,3.51449831380026e-21,4.0975547806167e-20,9.35901124168845e-20,2.45551529095988e-20,4.59416932481863e-20,5.14064384856394e-20,5.56303451621651e-21,1.01857023009124e-21,7.01164664275083e-20,3.7451880727453e-20,4.8662794322233e-19,9.4071964830423e-20,1.42840381102962e-17,3.13929660420393e-17,4.13504837448449e-18,1.98274977785568e-18,2.00366066160968e-18,1.56466702736319e-18,3.41989300350334e-18,1.17253474405829e-18,3.02346991493464e-18,3.30744506281747e-18,1.4356009526167e-17,4.04953420068239e-18,2.83467394047768e-18,0.00540133600120172,57972057791948352,813.330106306865,2.39011178807485,3.42135743985552e-09,1382.6921244074,2.23301746590912e+35,135.124806018874,-2.85665352418593e-05,0.000450156703300915
