PUB_ID,RAdeg,Decdeg,PAH6.2flx,PAH7.7flx,PAH8.3flx,PAH8.6flx,PAH11.3flx,PAH12.7flx,PAH17.0flx,IRAC3,PACS100,SPIRE250,SPIRE350,SPIRE500,HALPHA,SII_CONTINUUM,OIII_CONTINUUM,SFR,STELLAR_MASS,TOTAL_FIR,DUST_LUM,DUST_MASS,TOTAL_GAS,RHI,12plogOH
Region 1,10.376708333333333,40.718833333333336,1.2005749E-15,3.770880579948425E-15,4.560317E-16,4.9713777E-16,1.1779519617557527E-15,5.400456786155701E-16,5.842814855277539E-16,9.750223033268909E-15,2.511994554972902E-14,2.3299514431741726E-13,8.496683529133974E-14,5.947678470393782E-14,8.071258637684248E-16,8.36216741843718E-15,1.6354166638400615E-14,4.104283916104903E-5,2316466,1.7509994382315127E39,1.3438201227871157E7,123662.53817566934,2854713.755379745,1.3632773262262345,9.2
Region 2,11.345208333333332,41.64808333333333,1.1013532E-15,3.72015929222107E-15,3.2695856E-16,6.997312E-16,1.1295224130153656E-15,5.136768408119679E-16,5.085613168776036E-16,1.2807478577500235E-14,2.0544007578770773E-14,1.7899083235707008E-13,6.121582827968576E-14,4.2851079795780026E-14,5.651319548543548E-16,7.833507823912585E-14,4.28404471312189E-14,4.14279659093687E-5,2907240,1.5550540047279503E39,1.0249450840221552E7,72861.69285459774,395155.3790710181,0.8032389235496521,9.07
Region 3,10.155708333333331,41.02483333333333,8.8569947E-16,3.897471308708191E-15,7.45005E-16,2.5831972E-16,6.790155768394471E-16,4.686723947525025E-16,4.462555702775717E-16,1.2135230026891249E-14,1.2830164231637072E-14,1.165976366036705E-13,3.6705603257419183E-14,2.5693922280193425E-14,1.3418725173827011E-15,-4.6258881877248506E-14,-4.4267466099300655E-14,3.4248676069961124E-5,2991976.5,1.271814827739859E39,7505330.166781875,39076.14252620881,2097755.992556133,-0.3821491741492778,8.85
Region 4,10.324416666666664,41.11938888888889,5.571926E-16,2.077025592327118E-15,2.630181E-16,4.0788064E-16,7.003129720687866E-16,3.095870316028595E-16,4.351591840386391E-16,1.5729200740510824E-14,1.875829936680917E-14,1.296090834440168E-13,4.0791920579058694E-14,2.855434440534109E-14,9.926580721498858E-16,7.580720605407024E-14,1.3269585238759129E-14,2.7586077070657744E-5,6460171.5,1.271209572281755E39,7481230.556953836,40219.66092543186,590475.5603330298,1E-60,8.89
Region 5,10.914874999999999,41.317527777777784,2.3830012E-16,7.900612652301789E-16,1.1595779E-16,2.0599456E-16,4.467480629682541E-16,2.2063662111759188E-16,3.313571866601706E-16,1.3995869311308958E-14,1.3828135415327485E-14,8.479225862453644E-14,2.4457182865106782E-14,1.7120028005574746E-14,1.9510081402033065E-15,4.355862867121463E-13,2.400102967502667E-13,2.4470758536043755E-5,6798112,1.0202533537392616E39,5624751.8884556275,22223.398593104535,970353.1927090845,0.540144856274128,8.93
Region 6,10.898833333333332,41.3875,2.5570869E-16,7.862203866243363E-16,1.0022126E-16,1.251804E-16,3.795139640569687E-16,1.5911957621574402E-16,2.938888929784298E-16,2.023477560813671E-14,2.739447820836623E-14,1.2483349836815007E-13,3.5524770786401877E-14,2.486733955048132E-14,2.644206082158496E-15,5.420469663393657E-13,2.9063888346520995E-13,4.4067393028845516E-5,1.1063526E+07,1.759392860710851E39,8012877.654301249,33937.58813535778,1691789.119688481,0.3405142346024513,8.73
Region 7,10.224916666666665,40.98302777777778,6.2271983E-16,1.995307058095932E-15,3.0020928E-16,4.5087315E-16,7.687501907348634E-16,3.7186607718467714E-16,4.702636897563934E-16,2.1761803617485734E-14,1.755779089957041E-14,7.878721701724706E-14,2.6003311753707913E-14,1.8202318227595534E-14,2.4494101324265512E-15,6.291059303089436E-13,3.645954751375837E-13,2.427035278199237E-5,2.0696018E+07,1.0552584487351666E39,8815928.411322825,18971.649560971564,1589527.5871821148,-0.1198679053783418,8.4
Region 8,10.589999999999998,41.1215,9.452572E-17,2.1860213577747348E-16,9.334204E-17,9.501829E-17,1.5667464584112167E-16,1E-60,1.4584995433688165E-16,1.1881709220875104E-14,3.5250384044300884E-14,2.36081012987226E-13,7.99269229842532E-14,5.5948846088977215E-14,4.818047399735249E-15,3.7135188364063853E-14,4.874812585307801E-14,7.808630682686529E-5,2696392.5,2.941880923779356E39,1.5246642419061128E7,87169.42094445237,1208607.8267734356,0.5802387461066245,8.94
Region 9,10.249999999999998,40.60563888888889,1.3470765E-15,4.370455741882324E-15,8.727343E-16,5.414596E-16,1.316202998161316E-15,8.331480026245117E-16,6.073150858283043E-16,1.297006776015807E-14,2.5884022123812834E-14,1.1503810839351835E-13,3.9972993530048715E-14,2.7981095471034094E-14,1.1966885387414791E-15,6.568881916123041E-14,1.663307205421361E-14,2.7178728334974535E-5,4662206.5,1.324943797833124E39,8662758.407919109,36168.823823799394,255581.07967048907,0.3065304362773895,8.86
Region 10,10.64583333333333,41.35027777777778,1.323932E-15,7.722750902175903E-15,1.1301323E-15,6.961946E-16,1.8503600955009463E-15,1.016351193189621E-15,1.386265153065324E-15,3.96141604858112E-14,5.977670008155047E-14,2.838311277961299E-13,8.00629072538351E-14,5.6044035077684567E-14,1.8598867479956142E-15,6.206669715798538E-13,2.8240818863615935E-13,6.764329175024923E-5,2.7337058E+07,4.4148749315204954E39,1.6080262479824306E7,47254.644344697386,2671538.0771839293,-0.5647859107467192,8.9
